address,Private Service Line Material,Public Service Line Material
4218 20 W 26TH ST,SUSPECTED LEAD,SUSPECTED LEAD
3501 W 26TH ST,SUSPECTED LEAD,SUSPECTED LEAD
3501 W 26TH ST,SUSPECTED LEAD,SUSPECTED LEAD
3535 39 W CERMAK RD,SUSPECTED LEAD,SUSPECTED LEAD
3634 W 26TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2320 S LAWNDALE AVE,SUSPECTED LEAD,SUSPECTED LEAD
2601 09 S LAWNDALE AVE,SUSPECTED LEAD,SUSPECTED LEAD
3748 W 26TH ST,SUSPECTED LEAD,SUSPECTED LEAD
7940 S KEDZIE AVE,SUSPECTED LEAD,SUSPECTED LEAD
4139 N MOZART ST,SUSPECTED LEAD,SUSPECTED LEAD
4323 N ST LOUIS AVE,SUSPECTED LEAD,SUSPECTED LEAD
4017 N ST LOUIS AVE,SUSPECTED LEAD,SUSPECTED LEAD
4328 N BERNARD ST,SUSPECTED LEAD,SUSPECTED LEAD
4309 N RICHMOND ST,SUSPECTED LEAD,SUSPECTED LEAD
4229 N RICHMOND ST,SUSPECTED LEAD,SUSPECTED LEAD
4040 N MOZART ST,SUSPECTED LEAD,SUSPECTED LEAD
2939 W ADDISON ST,SUSPECTED LEAD,SUSPECTED LEAD
3315 17 W IRVING PARK RD,SUSPECTED LEAD,SUSPECTED LEAD
3035 W IRVING PARK RD,SUSPECTED LEAD,SUSPECTED LEAD
3001 17 N ROCKWELL ST,SUSPECTED LEAD,SUSPECTED LEAD
3001 17 N ROCKWELL ST,SUSPECTED LEAD,SUSPECTED LEAD
2825 N FRANCISCO AVE,SUSPECTED LEAD,SUSPECTED LEAD
2825 N FRANCISCO AVE,SUSPECTED LEAD,SUSPECTED LEAD
3503 27 N KIMBALL AVE,SUSPECTED LEAD,SUSPECTED LEAD
3935 N CALIFORNIA AVE,SUSPECTED LEAD,SUSPECTED LEAD
4347 N LINCOLN AVE,SUSPECTED LEAD,SUSPECTED LEAD
3815 N DAMEN AVE,SUSPECTED LEAD,SUSPECTED LEAD
4136 N WESTERN AVE,SUSPECTED LEAD,SUSPECTED LEAD
2044 46 W CUYLER AVE,SUSPECTED LEAD,SUSPECTED LEAD
2044 46 W CUYLER AVE,SUSPECTED LEAD,SUSPECTED LEAD
3800 08 N SEELEY AVE,SUSPECTED LEAD,SUSPECTED LEAD
4201 03 N DAMEN AVE,SUSPECTED LEAD,SUSPECTED LEAD
4201 03 N DAMEN AVE,SUSPECTED LEAD,SUSPECTED LEAD
