Address,Private Service Line Material,Public Service Line Material
1324 34 S KOSTNER AVE,NOT LEAD,SUSPECTED LEAD
2548 50 W WASHINGTON BLVD,NOT LEAD,SUSPECTED LEAD
4119 21 W WASHINGTON BLVD,NOT LEAD,SUSPECTED LEAD
4112 S DR MARTIN LUTHER KING JR DR,SUSPECTED LEAD,SUSPECTED LEAD
3737 39 S HALSTED ST,NOT LEAD,SUSPECTED LEAD
3601 03 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
5120 22 W MADISON ST,SUSPECTED LEAD,SUSPECTED LEAD
2700 04 N LARAMIE AVE,NOT LEAD,SUSPECTED LEAD
6501 N TROY ST,NOT LEAD,SUSPECTED LEAD
6022 24 S EBERHART AVE,NOT LEAD,LEAD
8241 S LA SALLE ST,LEAD,SUSPECTED LEAD
7625 33 S EAST END AVE,NOT LEAD,SUSPECTED LEAD
6904 06 S CREGIER AVE,NOT LEAD,NOT LEAD
5100 06 S WABASH AVE,NOT LEAD,SUSPECTED LEAD
1 03 E 113TH ST,NOT LEAD,SUSPECTED LEAD
10859 S HALSTED ST,NOT LEAD,SUSPECTED LEAD
7933 S LA SALLE ST,NOT LEAD,SUSPECTED LEAD
7200 12 S CONSTANCE AVE,SUSPECTED LEAD,SUSPECTED LEAD
6503 S PAULINA ST,NOT LEAD,SUSPECTED LEAD
5523 N ST LOUIS AVE,NOT LEAD,SUSPECTED LEAD
1351 53 W CATALPA AVE,NOT LEAD,SUSPECTED LEAD
8141 S ST LOUIS AVE,SUSPECTED LEAD,SUSPECTED LEAD
3170 72 N CAMBRIDGE AVE,LEAD,SUSPECTED LEAD
6609 17 N CLARK ST,SUSPECTED LEAD,SUSPECTED LEAD
3409 11 W 26TH ST,SUSPECTED LEAD,SUSPECTED LEAD
7620 22 N GREENVIEW AVE,NOT LEAD,SUSPECTED LEAD
7238 40 S WOOD ST,SUSPECTED LEAD,SUSPECTED LEAD
7614 16 N GREENVIEW AVE,NOT LEAD,SUSPECTED LEAD
7630 32 N GREENVIEW AVE,NOT LEAD,SUSPECTED LEAD
1442 W BIRCHWOOD AVE THOUSE D,NOT LEAD,SUSPECTED LEAD
1442 W BIRCHWOOD AVE THOUSE C,NOT LEAD,SUSPECTED LEAD
1442 W BIRCHWOOD AVE THOUSE B,NOT LEAD,SUSPECTED LEAD
1442 W BIRCHWOOD AVE THOUSE A,NOT LEAD,SUSPECTED LEAD
7549 N ROGERS AVE,NOT LEAD,SUSPECTED LEAD
7531 33 N ROGERS AVE,NOT LEAD,SUSPECTED LEAD
7500 N ROGERS AVE,NOT LEAD,NOT LEAD
2224 N LOCKWOOD AVE,SUSPECTED LEAD,LEAD
4210 12 S ARCHER AVE,LEAD,SUSPECTED LEAD
6259 N BROADWAY,SUSPECTED LEAD,SUSPECTED LEAD
1971 73 W FARRAGUT AVE,SUSPECTED LEAD,SUSPECTED LEAD
5529 N ST LOUIS AVE,NOT LEAD,SUSPECTED LEAD
9441 S LA SALLE ST,NOT LEAD,SUSPECTED LEAD
1713 W 55TH ST,NOT LEAD,SUSPECTED LEAD
7621 25 N GREENVIEW AVE,NOT LEAD,NOT LEAD
7633 39 N GREENVIEW AVE,NOT LEAD,NOT LEAD
5301 05 W BARRY AVE,SUSPECTED LEAD,SUSPECTED LEAD
28 W 111TH PL,SUSPECTED LEAD,SUSPECTED LEAD
10559 S TALMAN AVE,NOT LEAD,SUSPECTED LEAD
2423 25 N ALBANY AVE,SUSPECTED LEAD,SUSPECTED LEAD
2435 37 N ALBANY AVE,SUSPECTED LEAD,SUSPECTED LEAD
2439 41 N ALBANY AVE,NOT LEAD,NOT LEAD
2429 31 N ALBANY AVE,SUSPECTED LEAD,SUSPECTED LEAD
5648 50 W MELROSE ST,SUSPECTED LEAD,SUSPECTED LEAD
3941 W AINSLIE ST UNIT B,SUSPECTED LEAD,SUSPECTED LEAD
3941 W AINSLIE ST UNIT C,SUSPECTED LEAD,SUSPECTED LEAD
3941 W AINSLIE ST UNIT D,SUSPECTED LEAD,SUSPECTED LEAD
3941 45 W AINSLIE ST,SUSPECTED LEAD,SUSPECTED LEAD
3941 W AINSLIE ST UNIT A,SUSPECTED LEAD,SUSPECTED LEAD
3945 W AINSLIE ST UNIT F,SUSPECTED LEAD,SUSPECTED LEAD
3941 W AINSLIE ST UNIT F,SUSPECTED LEAD,SUSPECTED LEAD
3941 W AINSLIE ST UNIT,SUSPECTED LEAD,SUSPECTED LEAD
4010 16 W AINSLIE ST,SUSPECTED LEAD,SUSPECTED LEAD
4034 40 W AINSLIE ST,SUSPECTED LEAD,SUSPECTED LEAD
4907 09 N KEYSTONE AVE,SUSPECTED LEAD,SUSPECTED LEAD
4929 31 N KEYSTONE AVE,SUSPECTED LEAD,SUSPECTED LEAD
3951 W AINSLIE ST UNIT 10,NOT LEAD,NOT LEAD
3951 W AINSLIE ST UNIT 11,NOT LEAD,NOT LEAD
3951 W AINSLIE ST UNIT 4,NOT LEAD,NOT LEAD
3951 W AINSLIE ST UNIT 8,NOT LEAD,NOT LEAD
3951 W AINSLIE ST THOUSE 1,NOT LEAD,NOT LEAD
3951 W AINSLIE ST UNIT 2,NOT LEAD,NOT LEAD
3951 W AINSLIE ST UNIT 5,NOT LEAD,NOT LEAD
3951 W AINSLIE ST UNIT 6,NOT LEAD,NOT LEAD
5200 W 63RD PL THOUSE 1,LEAD,SUSPECTED LEAD
1118 E 50TH ST,NOT LEAD,SUSPECTED LEAD
4520 22 N WOLCOTT AVE,SUSPECTED LEAD,LEAD
8613 S STONY ISLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
1700 08 S ASHLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
3519 S WESTERN AVE,NOT LEAD,SUSPECTED LEAD
4738 S DR MARTIN LUTHER KING JR DR,NOT LEAD,SUSPECTED LEAD
810 14 W WASHINGTON BLVD,NOT LEAD,LEAD
419 23 W SUPERIOR ST,SUSPECTED LEAD,SUSPECTED LEAD
7200 02 S INDIANA AVE,SUSPECTED LEAD,SUSPECTED LEAD
2635 37 W ARTHUR AVE,SUSPECTED LEAD,SUSPECTED LEAD
7527 S DR MARTIN LUTHER KING JR DR,GALVANIZED REQUIRING REPLACEMENT,LEAD
7952 54 S COLFAX AVE,SUSPECTED LEAD,SUSPECTED LEAD
226 28 N MENARD AVE,NOT LEAD,SUSPECTED LEAD
1431 33 W BIRCHWOOD AVE,NOT LEAD,SUSPECTED LEAD
3301 05 W BRYN MAWR AVE,SUSPECTED LEAD,LEAD
7440 S EUCLID PKWY,NOT LEAD,SUSPECTED LEAD
910 18 W OAKDALE AVE,NOT LEAD,NOT LEAD
438 40 W 43RD ST,NOT LEAD,LEAD
2901 W FARWELL AVE,LEAD,SUSPECTED LEAD
4025 27 N PULASKI RD,SUSPECTED LEAD,SUSPECTED LEAD
4719 23 N DRAKE AVE,SUSPECTED LEAD,SUSPECTED LEAD
6500 04 S YALE AVE,SUSPECTED LEAD,SUSPECTED LEAD
7926 S LA SALLE ST,SUSPECTED LEAD,SUSPECTED LEAD
8403 S BUFFALO AVE,SUSPECTED LEAD,SUSPECTED LEAD
4215 17 W FILLMORE ST,SUSPECTED LEAD,SUSPECTED LEAD
8312 14 S BUFFALO AVE,SUSPECTED LEAD,SUSPECTED LEAD
8522 S BUFFALO AVE,SUSPECTED LEAD,SUSPECTED LEAD
8402 S BUFFALO AVE,NOT LEAD,NOT LEAD
8450 S BUFFALO AVE,NOT LEAD,NOT LEAD
8421 S BUFFALO AVE,NOT LEAD,NOT LEAD
8413 S BUFFALO AVE,NOT LEAD,NOT LEAD
8457 59 S BUFFALO AVE,NOT LEAD,NOT LEAD
1414 W 112TH PL,LEAD,SUSPECTED LEAD
5608 S ROCKWELL ST,NOT LEAD,NOT LEAD
6326 32 W RAVEN ST,SUSPECTED LEAD,SUSPECTED LEAD
6336 42 W RAVEN ST,NOT LEAD,LEAD
6353 55 W RAVEN ST,NOT LEAD,SUSPECTED LEAD
5448 N LAWLER AVE,SUSPECTED LEAD,SUSPECTED LEAD
6943 51 S CORNELL AVE,NOT LEAD,NOT LEAD
5753 55 W DIVERSEY AVE,SUSPECTED LEAD,SUSPECTED LEAD
6900 04 S PAXTON AVE,SUSPECTED LEAD,SUSPECTED LEAD
6943 47 S PARNELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
1308 W 112TH PL,GALVANIZED REQUIRING REPLACEMENT,SUSPECTED LEAD
1300 W 112TH PL,LEAD,SUSPECTED LEAD
4411 15 N RAVENSWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
7611 S DR MARTIN LUTHER KING JR DR,SUSPECTED LEAD,SUSPECTED LEAD
1422 W 112TH PL,SUSPECTED LEAD,SUSPECTED LEAD
8313 S BUFFALO AVE,NOT LEAD,NOT LEAD
9301 S DR MARTIN LUTHER KING JR DR,NOT LEAD,SUSPECTED LEAD
616 18 N PINE AVE,NOT LEAD,NOT LEAD
2742 54 N CLARK ST,NOT LEAD,NOT LEAD
2700 68 W GRAND AVE,NOT LEAD,NOT LEAD
10719 S LA SALLE ST,SUSPECTED LEAD,SUSPECTED LEAD
5046 48 W ADAMS ST,SUSPECTED LEAD,LEAD
4841 59 S DREXEL BLVD,NOT LEAD,SUSPECTED LEAD
4719 21 N LINDER AVE,SUSPECTED LEAD,SUSPECTED LEAD
1246 S TRIPP AVE,SUSPECTED LEAD,SUSPECTED LEAD
1600 02 W GRAND AVE,NOT LEAD,SUSPECTED LEAD
2421 23 W GRAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
2434 N KEDZIE BLVD,LEAD,SUSPECTED LEAD
6519 S KEATING AVE,SUSPECTED LEAD,LEAD
4224 W FOSTER AVE,NOT LEAD,NOT LEAD
11252-54 S LANGLEY AVE,SUSPECTED LEAD,SUSPECTED LEAD
5425 27 W MADISON ST,SUSPECTED LEAD,SUSPECTED LEAD
3035 43 W 26TH ST,SUSPECTED LEAD,SUSPECTED LEAD
6824 S LOOMIS BLVD,SUSPECTED LEAD,SUSPECTED LEAD
6806 08 S CONSTANCE AVE,SUSPECTED LEAD,SUSPECTED LEAD
7735 S CREGIER AVE,NOT LEAD,SUSPECTED LEAD
1639 41 W ROSEHILL DR,SUSPECTED LEAD,SUSPECTED LEAD
3548 50 N MILWAUKEE AVE,SUSPECTED LEAD,SUSPECTED LEAD
